ISIN,WKN,MarketingName,EDVKuerzel,PRIMARY_RIC,LupoxGruppe,KVNR,ListingXSTU,PROFILNAME,ListingTradeRebel
AN8068571086,853390,Schlumberger Ltd. (SLB),SCL,SLB,AL,6166,1,Z_USA_Liq2_TG,1
ARP125991090,892998,Banco BBVA Argentina S.A.,BDPA,FRA,AL,6166,1,Z_noMM,0
AT000000ETS9,A3EVYK,EuroTeleSites AG,7YF,7YF,AM,6166,1,Z_EU_Liq2_TG,1
AT000000STR1,A0M23V,Strabag SE,XD4,STRV,AM,6166,1,Z_EU_Liq1_DETG,1
AT00000AMAG3,A1JFYU,Amag Austria Metall AG,AM8,AM8,AM,6166,1,Z_EU_Liq3_noDETG,0
AT00000FACC2,A1147K,Facc AG,1FC,1FC,AM,6166,1,Z_EU_Liq2_TG,0
AT00000VIE62,A2AMK9,Flughafen Wien AG,FLW1,FLW1,AM,6166,1,Z_EU_Liq2_TG,0
AT0000606306,A0D9SU,Raiffeisen Bank International AG,RAW,RBIV,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000609607,850185,Porr AG,ABS2,ABGV,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000616701,A0F5L6,Athos Immobilien AG,IJM,ATHO,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000624705,853022,BKS Bank AG,BK5,KAER,AM,6166,1,Z_noMM,0
AT0000625108,854018,Oberbank AG,OBK,OBER,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000625504,854019,Bank für Tirol und Vorarlberg AG,ZTY,TIRA,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000640552,879095,Burgenland Holding AG,BH4,BHAV,AM,6166,1,Z_noMM,0
AT0000641352,876520,CA Immobilien Anlagen AG,BZY,CAIV,AM,6166,1,Z_EU_Liq2_TG,0
AT0000644505,852927,Lenzing AG,LEN,LENV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000652011,909943,Erste Group Bank AG,EBO,ERST,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000720008,588811,Telekom Austria AG,TA1,TELA,AM,6166,1,Z_EU_Liq2_TG,1
AT0000730007,632305,Andritz AG,AZ2,ANDR,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000741053,878279,EVN AG,EVN,EVNV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000743059,874341,OMV AG,OMV,OMVV,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000746409,877738,Verbund AG,OEWA,VERB,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000758305,919964,Palfinger AG,PFI,PALF,AM,6166,1,Z_EU_Liq2_TG,0
AT0000785407,922985,Fabasoft AG,FAA,FAAS,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000785555,870378,Semperit AG Holding,SEW,SMPV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000808209,910497,SW Umwelttechnik Stoiser & Wolschner AG,SWU,SWUT,AM,6166,1,Z_noMM,0
AT0000815402,852735,UBM Development AG,2U2,2U2,AM,6166,1,Z_EU_Liq2_TG,0
AT0000818802,915210,DO & CO AG,DOQ,DOCO,AM,6166,1,Z_EU_Liq2_TG,1
AT0000821103,928900,Uniqa,UN9,UNIQ,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000824206,919214,AB Effectenbeteiligungen AG,JPH,ABEV,AM,6166,1,Z_noMM,0
AT0000831706,852894,Wienerberger AG,WIB,WBSV,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000834007,893975,Wolford AG,WOF,WLFD,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000837307,A0JLPR,Zumtobel Group AG,T9Z,ZUMV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000908504,A0ET17,Vienna Insurance Group AG,WSV2,VIGR,AM,6166,1,Z_EU_Liq2_TG,1
AT0000922554,892502,Rosenbauer International AG,ROI,RBAV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000937503,897200,voestalpine AG,VAS,VOES,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000938204,890447,Mayr-Melnhof Karton AG,MYM,MMKV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000946652,907391,SBO AG,SLL,SBOE,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000969985,922230,AT & S Austria Technologie & Systemtechnik AG,AUS,ATSV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000A00XX9,A0JL31,Polytec Holding AG,P4N,POLV,AM,6166,1,Z_EU_Liq2_TG,1
AT0000A0E9W5,A0X9EJ,Kontron AG,KTN,SANT1,GD,6183,1,A_TecDAX,1
AT0000A21KS2,A2JN9W,CPI Europe AG,IMO1,IMO1,AM,6166,1,Z_EU_Liq2_TG,1
AT0000A25NJ6,A2PBHR,Wolftank-Adisa Holding AG,WAH,WAH,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000A325L0,A3D5BK,Austriacard Holdings AG,ACQ0,ACQ0,AM,6166,1,Z_EU_Liq3_noDETG,0
AT0000A34DM3,A3EGG4,EPH Group AG,GEPH,GEPH,AM,6166,1,Z_noMM,0
AT0000A3EPA4,A40QVT,ams-OSRAM AG,DQW,DQW,AM,6166,1,Z_EU_Liq2_TG,1
AT0000A3FW25,A40TC4,Steyr Motors AG,4X0,4X0,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000APOST4,A0JML5,Österreichische Post AG,O3P,POST,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000BAWAG2,A2DYJN,BAWAG Group AG,0B2,0B2,AM,6166,1,Z_EU_Liq1_DETG,1
AT0000KTMI02,A2JKHY,Pierer Mobility AG,PKTM,PKTM,AM,6166,1,Z_EU_Liq2_TG,1
AT000ADDIKO0,A2PMK5,Addiko Bank AG,ZYE1,ZYE1,AM,6166,1,Z_EU_Liq1_DETG,0
AT000AGRANA3,A2NB37,AGRANA Beteiligungs-AG,AGB2,AGB2,AM,6166,1,Z_EU_Liq2_TG,1
AT000KAPSCH9,A0MUZU,Kapsch TrafficCom AG,BZ6,KTCG,AM,6166,1,Z_EU_Liq2_TG,0
ATFREQUENT09,A2PHG5,Frequentis AG,FQT,FQT,AM,6166,1,Z_EU_Liq1_DETG,1
ATMARINOMED6,A2N9MM,Marinomed Biotech AG,93Z,93Z,AM,6166,1,Z_EU_Liq3_noDETG,0
AU0000001661,A2JETG,Raiden Resources Ltd.,YM4,YM4,AF,6166,1,Z_ASIA_Liq2_TG,0
AU0000003816,A2PDU9,Clearvue Technologies Ltd.,CKJ,CKJ,AF,6166,1,Z_ASIA_Liq2_TG,0
AU0000003PL9,A119T1,3P Learning Ltd.,73P,73P,AG,6166,1,Z_ASIA_Liq3_noDETG,0
