Status,Ordertyp,WKN,Limit,Nom,ANom,Order_Value,Timestamp,JIM_Value,Spread_Prozentual,Target_Market_Count,Tradegate_Volume,Risk Score,Decision,Reasons,jim_risk,spread_risk,mp_risk,tgv_risk
Ausgeführt,Limitiert,A0M4WZ,0.5568,,"6,800",3786.24,2026-04-14 09:25:34.2033,6575.452,0.0022,3.0,6576.000000000001,7.444896,Automatic,All risk factors within automatic limits,1.5144959999999998,0.22,2,3.7103999999999995
Eingegeben,Limitiert,A0M4WZ,0.5568,"6,800",,3786.24,2026-04-14 09:25:34.2033,6575.452,0.0022,3.0,6576.000000000001,7.444896,Automatic,All risk factors within automatic limits,1.5144959999999998,0.22,2,3.7103999999999995
Ausgeführt,Limitiert,A0M4WZ,0.557,,"12,800",7129.6,2026-04-14 09:25:34.2033,6575.452,0.0022,3.0,6576.000000000001,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A0M4WZ,0.557,"12,800",,7129.6,2026-04-14 09:25:34.2033,6575.452,0.0022,3.0,6576.000000000001,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,570796,4.112,,122,501.664,2026-04-14 09:28:40.9981,3300.0939999999996,0.0018,4.0,3307.5,0.8285798857142856,Automatic,All risk factors within automatic limits,0.2006656,0.18,0,0.4479142857142857
Eingegeben,Limitiert,570796,4.112,122,,501.664,2026-04-14 09:28:40.9981,3300.0939999999996,0.0018,4.0,3307.5,0.8285798857142856,Automatic,All risk factors within automatic limits,0.2006656,0.18,0,0.4479142857142857
Ausgeführt,Limitiert,922230,100.4,,89,8935.6,2026-04-14 09:22:14.3752,10191.6,0.0029,4.0,10260.0,15.545227913068281,Automatic,All risk factors within automatic limits,5.935600000000001,0.29,0,9.31962791306828
Eingegeben,Limitiert,922230,100.4,89,,8935.6,2026-04-14 09:22:14.3752,10191.6,0.0029,4.0,10260.0,15.545227913068281,Automatic,All risk factors within automatic limits,5.935600000000001,0.29,0,9.31962791306828
Ausgeführt,Limitiert,922230,99.5,,89,8855.5,2026-04-14 09:22:14.3752,10191.6,0.0029,4.0,10260.0,15.410690773654537,Automatic,All risk factors within automatic limits,5.855500000000001,0.29,0,9.265190773654536
Ausgeführt,Limitiert,A0LEQU,12.2,,83,1012.5999999999999,2026-04-14 09:28:41.0436,0.0,0.0269,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A0LEQU,12.2,,83,1012.5999999999999,2026-04-14 09:28:41.0436,0.0,0.0269,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,922230,99.5,89,,8855.5,2026-04-14 09:22:14.3752,10191.6,0.0029,4.0,10260.0,15.410690773654537,Automatic,All risk factors within automatic limits,5.855500000000001,0.29,0,9.265190773654536
Eingegeben,Limitiert,A0LEQU,12.2,83,,1012.5999999999999,2026-04-14 09:28:41.0436,0.0,0.0269,2.0,0.0,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A3ERHF,5.11,,300,1533.0,2026-04-14 09:24:30.3408,4905.42,0.017,4.0,4909.125,3.9030921052631578,Automatic,All risk factors within automatic limits,0.6132,1.9211421052631579,0,1.36875
Eingegeben,Limitiert,A3ERHF,5.11,300,,1533.0,2026-04-14 09:24:30.3408,4905.42,0.017,4.0,4909.125,3.9030921052631578,Automatic,All risk factors within automatic limits,0.6132,1.9211421052631579,0,1.36875
Gelöscht,Limitiert,A2AR9A,0.2825,"40,000",,11299.999999999998,2026-04-14 09:22:26.1852,0.0,0.0206,4.0,8685.2304,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A3EU6F,39.3,30,,1179.0,2026-04-14 09:26:09.2846,97647.44,-0.0075,6.0,97620.0,2.2742785714285714,Automatic,All risk factors within automatic limits,0.4716,0.75,0,1.0526785714285714
Gelöscht,Limitiert,A40CFY,8.73,"2,000",,17460.0,2026-04-14 09:24:08.5573,8045.839999999999,0.0055,4.0,8053.074,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A40CFY,8.73,"2,000",,17460.0,2026-04-14 09:24:08.5573,8045.839999999999,0.0055,4.0,8053.074,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,932443,8.323,"10,000",,83230.0,2026-04-14 09:23:19.2428,8892.099,0.0031,3.0,3928.76,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Eingegeben,Limitiert,A0YDA1,0.0005,"604,921",,302.4605,,,,,,N/A,Error,'jim+tgv',N/A,N/A,N/A,N/A
Ausgeführt,Limitiert,A1JFWK,19.925,,26,518.0500000000001,2026-04-14 09:30:47.7903,0.0,0.0043,4.0,10136.46,10.892544642857143,Automatic,All risk factors within automatic limits,10,0.43,0,0.4625446428571429
