WKN_Id;WKN;Timestamp;JIM_Value;Target_Market_Count;Present_Markets;Spread_Absolut;Spread_Prozentual;Best_Bid;Best Ask;Tradegate_Volume
103619;853390;2026-04-14 09:22:10.8334;0.0;4;['TG', 'F', 'LS1', 'SC1'];0.39;0.0089;43.855;44.245;8862.0
275769;892998;2026-04-14 09:22:10.9474;0.0;1;['F'];0.1;0.0219;4.56666666666667;4.66666666666667;0.0
2318620;A3EVYK;2026-04-14 09:22:11.0547;3180.45;3;['LS1', 'F', 'TG'];0.04;0.0088;4.55;4.59;3185.0
750080;A0M23V;2026-04-14 09:22:11.1666;8446.1;5;['F', 'LS1', 'TG', 'SC1', 'DE'];0.3;0.0032;95.0;95.3;8550.0
395361;A1JFYU;2026-04-14 09:22:11.2602;0.0;3;['LS1', 'F', 'BB1'];0.3;0.0105;28.7;29.0;0.0
1749949;A1147K;2026-04-14 09:22:11.3586;4251.78;5;['LS1', 'SC1', 'F', 'BB1', 'TG'];0.28;0.0197;14.22;14.5;4266.0
1373427;A2AMK9;2026-04-14 09:22:11.4540;2997.2;4;['LS1', 'BB1', 'TG', 'F'];0.8;0.0157;50.8;51.6;3048.0
267894;A0D9SU;2026-04-14 09:22:11.4820;9905.279999999999;5;['SC1', 'LS1', 'TG', 'DE', 'F'];0.08;0.0018;44.26;44.34;9958.5
125170;850185;2026-04-14 09:22:11.5167;5224.5;5;['SC1', 'F', 'LS1', 'TG', 'DE'];0.25;0.0062;40.5;40.75;5265.0
125180;A0F5L6;2026-04-14 09:22:11.6445;0.0;1;['LS1'];5.0;0.125;40.0;45.0;0.0
241168;854018;2026-04-14 09:22:11.7526;0.0;2;['LS1', 'F'];3.0;0.0385;78.0;81.0;0.0
125207;854019;2026-04-14 09:22:11.8510;0.0;1;['LS1'];7.0;0.1045;67.0;74.0;0.0
561102;876520;2026-04-14 09:22:12.0611;10005.6;5;['SC1', 'F', 'LS1', 'TG', 'BB1'];0.1;0.0038;26.4;26.5;10032.0
200066;852927;2026-04-14 09:22:12.1517;9875.25;4;['LS1', 'F', 'SC1', 'TG'];0.2;0.0081;24.75;24.95;9900.0
104187;909943;2026-04-14 09:22:12.2497;10424.699999999999;5;['SC1', 'F', 'LS1', 'TG', 'DE'];0.2;0.0019;105.3;105.5;10530.0
